mu,sigma,centroid_defect,log_mass_ratio
0.1,0.006,0.0,-10.875639937004168
0.10416666666666667,0.006,0.0,-10.875639937004168
0.10833333333333334,0.006,0.0,-10.875639937004168
0.1125,0.006,0.0,-10.875639937004168
0.11666666666666667,0.006,0.0,-10.875639937004168
0.12083333333333333,0.006,0.0,-10.875639937004168
0.125,0.006,0.0,-10.875639937004168
0.12916666666666668,0.006,0.0,-10.875639937004168
0.13333333333333333,0.006,0.0,-10.875639937004168
0.1375,0.006,0.0,-10.875639937004168
0.14166666666666666,0.006,0.0,-10.875639937004168
0.14583333333333334,0.006,0.0,-10.875639937004168
0.15000000000000002,0.006,0.0,-10.875639937004168
0.15416666666666667,0.006,0.0,-10.875639937004168
0.15833333333333333,0.006,0.0,-10.875639937004168
0.1625,0.006,0.0,-10.875639937004168
0.16666666666666669,0.006,0.0,-10.875639937004168
0.17083333333333334,0.006,0.0,-10.875639937004168
0.175,0.006,0.0,-10.875639937004168
0.17916666666666667,0.006,0.0,-10.875639937004168
0.18333333333333335,0.006,0.0,-10.875639937004168
0.1875,0.006,0.0,-10.875639937004168
0.19166666666666665,0.006,0.0,-10.875639937004168
0.19583333333333333,0.006,0.0,-10.875639937004168
0.2,0.006,0.0,-10.875639937004168
0.1,0.006666666666666667,0.0,-10.875639937004168
0.10416666666666667,0.006666666666666667,0.0,-10.875639937004168
0.10833333333333334,0.006666666666666667,0.0,-10.875639937004168
0.1125,0.006666666666666667,0.0,-10.875639937004168
0.11666666666666667,0.006666666666666667,0.0,-10.875639937004168
0.12083333333333333,0.006666666666666667,0.0,-10.875639937004168
0.125,0.006666666666666667,0.0,-10.875639937004168
0.12916666666666668,0.006666666666666667,0.0,-10.875639937004168
0.13333333333333333,0.006666666666666667,0.0,-10.875639937004168
0.1375,0.006666666666666667,0.0,-10.875639937004168
0.14166666666666666,0.006666666666666667,0.0,-10.875639937004168
0.14583333333333334,0.006666666666666667,0.0,-10.875639937004168
0.15000000000000002,0.006666666666666667,0.0,-10.875639937004168
0.15416666666666667,0.006666666666666667,0.0,-10.875639937004168
0.15833333333333333,0.006666666666666667,0.0,-10.875639937004168
0.1625,0.006666666666666667,0.0,-10.875639937004168
0.16666666666666669,0.006666666666666667,0.0,-10.875639937004168
0.17083333333333334,0.006666666666666667,0.0,-10.875639937004168
0.175,0.006666666666666667,0.0,-10.875639937004168
0.17916666666666667,0.006666666666666667,0.0,-10.875639937004168
0.18333333333333335,0.006666666666666667,0.0,-10.875639937004168
0.1875,0.006666666666666667,0.0,-10.875639937004168
0.19166666666666665,0.006666666666666667,0.0,-10.875639937004168
0.19583333333333333,0.006666666666666667,0.0,-10.875639937004168
0.2,0.006666666666666667,0.0,-10.875639937004168
0.1,0.007333333333333333,0.0,-10.875639937004168
0.10416666666666667,0.007333333333333333,0.0,-10.875639937004168
0.10833333333333334,0.007333333333333333,0.0,-10.875639937004168
0.1125,0.007333333333333333,0.0,-10.875639937004168
0.11666666666666667,0.007333333333333333,0.0,-10.875639937004168
0.12083333333333333,0.007333333333333333,0.0,-10.875639937004168
0.125,0.007333333333333333,0.0,-10.875639937004168
0.12916666666666668,0.007333333333333333,0.0,-10.875639937004168
0.13333333333333333,0.007333333333333333,0.0,-10.875639937004168
0.1375,0.007333333333333333,0.0,-10.875639937004168
0.14166666666666666,0.007333333333333333,0.0,-10.875639937004168
