burn_in,spearman_rho,n_rules
0,0.32731210384177994,11
2,0.5597511341062323,11
4,0.592956709858297,11
8,0.6925734371144908,11
16,0.9250124673789433,11
32,0.9582180431310079,11
64,0.9508943206487248,11
100,0.947900232875353,11
