burn_in,spearman_rho,n_rules
0,0.7946102925386888,15
2,0.7762320306438256,15
4,0.8036054523793762,15
8,0.8590940669625688,15
16,0.8590940669625688,15
32,0.8590940669625688,15
64,0.8590940669625688,15
128,0.8590940669625688,15
200,0.8309270483736322,15
